,wild_mean,wild_var,mutant_mean,mutant_var
0,6.55,16.6875,6.55,16.6875
0,5.83,18.0611,5.83,18.0611
0,6.32,18.7976,6.33,19.101099999999995
0,6.47,18.7091,7.38,26.4756
0,6.32,16.7376,5.52,16.629599999999996
0,5.96,16.9984,5.43,19.965099999999996
0,5.9,14.37,5.9,14.37
0,6.77,17.717100000000002,6.59,16.9819
0,7.23,16.4171,7.42,18.0036
0,6.01,18.109899999999996,6.01,18.109899999999996
0,6.35,18.307499999999994,6.35,18.307499999999994
0,5.8,18.480000000000004,5.8,18.480000000000004
0,6.48,18.789599999999997,6.48,18.789599999999997
0,6.32,17.9176,6.34,18.124399999999998
0,6.03,17.2691,6.06,17.596400000000003
