"","gradients","end_times","error","min","max"
"1",0.5,2,0,2,2
"2",1.5,9.25,1.50811140172071,7.74188859827929,10.7581114017207
"3",2.5,16.08,4.46022420961099,11.619775790389,20.540224209611
"4",3.5,22.67,6.83352763951387,15.8364723604861,29.5035276395139
"5",4.5,2608.9,4137.87694964459,-1528.97694964459,6746.77694964459
"6",5.5,4008.02,4657.79511849759,-649.775118497592,8665.81511849759
"7",6.5,6503.14,4850.0073051079,1653.1326948921,11353.1473051079
"8",7.5,6503.14,4977.65847763785,1525.48152236215,11480.7984776379
"9",8.5,6609.55,4759.72684521917,1849.82315478083,11369.2768452192
"10",9.5,7006.62,4616.67711979081,2389.94288020919,11623.2971197908
