,wild_mean,wild_var,mutant_mean,mutant_var
0,26.11,1090.4578999999999,23.84,942.9944
0,32.01,1488.7899,34.77,1777.3770999999997
0,24.23,1104.8771000000002,8.39,35.9979
0,23.28,655.1416000000002,21.17,257.24109999999996
0,19.44,734.4664,19.28,720.1016000000001
0,29.31,1438.5538999999999,30.78,1556.4115999999997
0,30.76,1582.2223999999999,33.33,1828.1210999999996
0,21.66,790.9244000000002,21.38,778.9356
0,30.21,956.4058999999999,26.99,747.4499000000001
0,29.21,1134.0659,26.43,904.9451000000001
0,30.82,1229.7676,19.58,249.80360000000002
0,26.35,1176.0275000000004,21.02,274.39959999999996
0,22.97,834.0091000000002,13.31,120.23389999999998
0,24.29,1127.3859000000002,15.17,209.94109999999992
0,24.7,1070.2700000000002,16.18,204.68760000000003
0,23.14,880.5404000000001,22.06,814.7964
0,22.14,842.4804,24.13,1096.1131
0,22.74,1080.5524,23.37,1132.4931
0,26.95,1098.8075,25.9,1013.37
0,22.29,663.6259000000001,20.19,547.7739
0,27.36,1167.7304,15.11,192.2379
0,28.35,1091.6275,29.86,1221.3604
0,25.72,1147.0015999999998,14.64,109.47039999999998
0,23.83,1106.5011,24.09,1134.7018999999998
0,26.72,911.9216,24.17,723.1411000000002
0,28.35,1431.2675,18.92,327.3336
0,31.84,1289.5744,32.6,1347.5600000000004
0,24.79,1095.6658999999997,28.32,1465.4976000000001
0,17.46,525.4884,18.04,563.8984
0,28.28,887.6016000000001,20.78,316.2316
0,24.66,995.2044000000002,23.73,429.53710000000007
0,28.14,1391.6804000000002,26.82,1211.5475999999999
0,23.17,1275.8011000000001,21.84,1061.6944
0,20.14,1072.3404,12.71,119.4259
0,27.22,1164.8716,23.99,885.3099000000001
0,24.74,1001.0124000000002,23.76,921.7023999999999
0,22.52,971.0496,23.18,1029.9876000000002
0,24.12,1000.2056,23.3,961.51
0,25.29,994.6859000000003,18.27,250.75709999999995
0,30.87,1234.1330999999998,28.41,1031.4418999999998
0,26.8,1167.36,19.34,332.96439999999996
0,22.13,643.3931,18.3,244.09000000000003
0,26.33,1211.4210999999998,26.92,1268.7535999999998
0,30.38,1125.4756000000002,31.18,1236.7676000000001
0,30.57,1251.1851000000001,31.87,1341.4131
0,28.39,1090.0979000000002,25.41,899.4819
0,30.35,1152.0275000000001,25.81,816.2739
0,24.17,815.4611000000001,23.34,756.8044
0,29.61,1176.7578999999998,16.03,122.28910000000002
0,27.82,932.8876000000001,29.39,1039.4379
0,31.51,1556.2099000000003,13.04,105.2384
0,24.02,812.3396,13.09,107.84190000000001
0,27.72,1014.5815999999999,24.37,790.6531000000001
