,wild_mean,wild_var,mutant_mean,mutant_var
0,35.07,3.7450999999999994,35.07,3.7450999999999994
0,34.95,4.2075,34.95,4.2075
0,35.06,3.9364,22.33,0.2811
0,35.03,4.5291000000000015,50.49,167.64989999999997
0,46.42,56.42360000000001,94.87,859.5130999999998
0,186.26,973535.9124000003,28.86,197.28040000000004
0,190.22,972749.2315999999,43.33,12.821100000000001
0,391.24,2856287.5023999996,79.08,617.3536
0,196.65,971596.3875,39.44,15.586400000000003
0,86.87,669.6730999999999,86.87,669.6730999999999
0,286.01,1926507.4098999999,286.01,1926507.4098999999
0,90.44,1044.0264000000002,52.17,152.68109999999996
0,283.23,1927615.4571000007,74.37,319.67310000000003
0,290.95,1924541.9475,44.14,3.0004000000000004
0,483.25,3774672.1475,44.08,3.0536000000000003
0,385.3,2859665.3500000006,288.03,1925576.1091
0,185.48,973536.7695999999,84.59,706.1419000000001
0,288.46,1925766.4084,48.11,171.67790000000002
0,385.71,2859396.0259000002,385.71,2859396.0259000002
0,90.59,759.3219,90.59,759.3219
