,wild_mean,wild_var,mutant_mean,mutant_var
0,4.28,1.3016000000000003,4.28,1.3016000000000003
0,4.19,1.6139000000000003,4.19,1.6139000000000003
0,4.33,1.7411,4.18,1.3476
0,4.21,1.6859,4.82,2.4476
0,4.4,1.3,3.96,1.0384
0,4.31,1.7939,4.18,1.2475999999999996
0,4.16,1.3544000000000003,4.18,1.3075999999999999
0,4.46,1.2484000000000004,4.46,1.2484000000000004
0,4.64,1.2503999999999997,4.63,1.2131
0,4.2,1.74,4.2,1.74
0,4.4,2.0799999999999996,4.4,2.0799999999999996
0,4.03,1.6691,4.02,1.6996
0,4.3,1.9300000000000004,4.3,1.9300000000000004
0,4.4,1.6399999999999997,4.46,1.6884000000000001
0,4.14,1.4203999999999999,4.22,1.4516
0,4.24,1.8824000000000003,4.27,1.8171000000000002
0,4.38,1.7356,4.23,1.6171000000000004
0,4.08,1.3936,4.1,1.07
0,4.48,1.5695999999999994,4.48,1.5695999999999994
0,4.16,1.6144,4.16,1.6144
0,4.33,1.3211000000000002,4.33,1.3211000000000002
0,4.29,1.6458999999999997,4.27,1.6371000000000004
0,4.28,1.5815999999999995,4.28,1.5815999999999995
0,4.39,1.7178999999999993,4.39,1.8778999999999995
0,4.43,1.6251,4.43,1.6251
0,4.43,1.7051000000000003,4.43,1.7051000000000003
0,4.31,1.7739000000000003,4.32,1.7775999999999996
0,4.48,1.6095999999999997,4.15,1.3075000000000003
0,4.47,1.6691000000000003,4.48,1.6695999999999995
0,4.47,1.7691,3.92,1.4936
0,4.34,1.3444,4.11,1.2179000000000002
0,4.3,1.2699999999999998,4.3,1.3300000000000003
0,4.26,1.5723999999999998,4.3,1.55
0,4.43,1.4850999999999999,4.74,1.8723999999999996
0,4.35,1.5475000000000003,4.35,1.5475000000000003
0,4.42,1.7836,4.48,1.5495999999999999
0,4.29,1.6058999999999997,4.42,1.4636000000000002
0,4.09,1.5219,4.12,1.1856000000000002
0,4.23,1.9171000000000005,4.23,1.9171000000000005
0,4.62,1.6755999999999998,4.32,1.4575999999999996
0,4.47,1.8691,4.02,1.2396
0,4.43,1.6051000000000002,4.43,1.6051000000000002
0,4.64,1.3504000000000005,4.64,1.3504000000000005
0,4.39,1.6778999999999993,4.39,1.6778999999999993
0,4.46,1.4084,4.5,1.49
0,4.21,1.6658999999999997,3.66,1.2044000000000001
0,4.47,1.8091,4.44,1.4664000000000004
0,4.6,1.32,4.6,1.32
0,4.49,1.3299000000000003,4.47,1.3691000000000002
0,4.26,1.6924,4.3,1.55
0,4.36,1.5904000000000003,4.32,1.5775999999999997
0,4.35,1.5075,4.35,1.5075
0,4.24,1.7424000000000002,4.16,1.5344
0,4.42,1.8836000000000002,4.42,1.9436000000000004
0,4.27,2.0571,4.24,1.9824000000000002
0,4.44,1.7064000000000004,4.41,1.1818999999999997
0,4.33,1.6411000000000002,4.32,1.6375999999999997
0,4.09,1.7219000000000002,4.09,1.7219000000000002
0,4.52,1.8296,4.57,1.9250999999999998
0,4.17,2.1411,4.13,1.7330999999999996
0,4.31,1.3939000000000001,4.31,1.3939000000000001
0,4.18,1.7475999999999996,4.17,1.3411000000000002
0,4.4,2.0,3.94,1.9564000000000004
0,4.13,1.2331,4.18,1.3075999999999999
0,4.39,1.6978999999999997,4.39,1.6978999999999997
0,4.51,1.6699000000000004,4.49,1.5899
0,4.26,1.4524000000000001,4.26,1.4524000000000001
0,4.42,1.5836000000000001,4.13,1.2930999999999997
0,4.18,1.6275999999999997,4.54,1.9083999999999994
0,4.49,2.0499000000000005,4.95,2.5675
