,wild_mean,wild_var,mutant_mean,mutant_var
0,3116.66,20325330.6844,2398.13,17266390.453100003
0,2197.9,16185088.07,167.76,977889.6424000001
0,2503.71,17757289.925900005,3288.79,21202451.9859
0,3112.91,20341097.6419,2510.66,17730637.984399997
0,3390.5,21524563.45,2805.17,19155944.0811
0,3385.55,21555806.247499995,2602.57,18252829.2651
0,2616.17,18195633.0211,3704.91,22298648.681900002
0,2510.68,17721051.4176,1411.63,11027882.113099998
0,2218.25,16106658.6675,3283.36,21240342.310399998
0,3209.3,20727546.61,2475.18,17884953.847599998
0,2641.61,18079634.2779,3014.63,19937731.7331
0,2528.0,17647226.94,5693.92,23612386.23360001
0,6383.11,22291091.0779,4376.83,23861966.5811
0,5414.01,23732841.829899997,2818.69,19084534.3739
0,5499.58,23790425.183600005,8331.31,13598271.513900004
0,8042.56,15329934.4864,7952.48,15778221.069599995
0,8055.99,15129938.929900002,7954.52,15748474.78959999
0,7570.16,17726704.2944,7946.25,15871819.5475
0,7956.91,15722649.0019,7172.01,19606959.669899993
0,8139.17,14765661.441099996,8334.5,13549194.05
0,7963.48,15613634.509600006,8829.44,10052501.6464
0,7840.47,16536644.529099999,7843.19,16499145.433900004
0,7553.77,17957446.017099995,8340.3,13456619.069999995
0,9029.27,8485481.2371,4394.42,23714101.423600003
0,8242.15,14080307.687499998,8819.24,10225838.362399999
0,7637.15,17683016.927499995,9524.92,4309273.9336
0,8040.85,15362431.227500003,7358.57,18874776.345100004
0,7443.32,18609079.357600003,7545.54,18076298.968399998
0,8226.95,14327320.5675,5896.87,23278132.7731
0,7247.88,19498313.0256,8140.48,14762712.389599998
0,7733.95,17192935.2875,7343.53,19085754.889100004
0,7757.02,16867223.799600005,8527.93,12284337.725099996
0,7935.67,16034986.3011,2873.86,19753299.440399993
0,7232.88,19692893.125599995,3764.36,22841839.7704
0,8520.04,12412977.578399997,9900.76,975009.1824000003
0,7438.3,18688438.63,9506.56,4626336.7064
0,9708.64,2746487.410400001,9313.88,6256997.405599998
0,9603.2,3778884.4200000004,9605.11,3742985.117900002
0,9206.43,7242297.445100002,9409.23,5467960.017099998
0,9602.02,3801322.4996000016,9414.17,5379876.0411
0,9410.66,5443618.1044,9606.07,3724564.8851
0,9404.04,5564333.498399999,8933.19,9244241.273899997
0,9702.48,2862092.589599999,9702.45,2862843.4075
0,9404.46,5556585.388400001,9309.14,6341681.340400001
0,9801.78,1925267.7515999996,9702.88,2854419.8456000006
