,wild_mean,wild_var,mutant_mean,mutant_var
0,28.32,15498.577599999993,9.27,4.9371
0,30.71,11726.405899999998,30.71,11726.405899999998
0,28.56,12040.0464,14.76,770.0224000000001
0,71.82,54405.327600000004,49.01,17973.2099
0,39.07,47312.405099999996,35.79,23589.125900000006
0,47.64,18499.9904,17.66,1416.3443999999997
0,25.54,4564.7284,23.41,4960.981899999999
0,24.9,10020.950000000006,10.32,16.417600000000004
0,11.43,65.6651,9.89,8.777899999999999
0,23.67,2623.1211,23.79,5063.805900000001
0,132.01,1000436.2298999995,129.03,992628.6891
0,18.27,4484.317100000001,34.38,19356.7556
0,28.72,7417.921599999999,29.16,25136.334399999996
0,19.22,3426.4915999999994,19.15,1218.0475000000004
0,36.29,14746.165900000007,36.29,14746.165900000007
0,62.98,65915.19959999999,48.92,18989.533599999995
0,32.46,16232.9884,32.46,16232.9884
0,27.51,2946.2699,21.87,1850.4731
0,20.74,1685.0724000000002,38.53,20382.169100000006
0,50.49,27446.969899999996,38.44,7896.626400000001
0,49.04,49622.49840000001,85.53,28981.9091
0,49.67,10991.481099999997,46.05,8071.947499999998
0,77.93,62810.665100000006,90.89,53593.31790000001
0,51.35,12809.327500000003,114.94,102131.25639999998
0,50.07,17948.805099999994,50.72,13078.661600000001
0,88.91,40303.9819,88.91,40303.9819
0,85.89,42660.69789999999,52.03,6065.409099999999
0,90.39,59868.59790000001,60.2,45748.58
0,55.73,22051.857099999994,54.03,33654.4891
0,57.44,18216.226399999996,57.44,18216.226399999996
0,61.79,17994.505900000004,61.79,17994.505900000004
0,78.69,46635.75389999999,21.39,3412.817900000001
0,62.81,18088.7539,50.38,14313.755600000002
0,69.11,20933.417899999997,21.65,2171.1274999999996
0,127.12,277520.7256,106.12,105163.74560000002
0,83.27,45571.73709999999,83.27,45571.73709999999
0,103.9,125560.42999999995,126.67,117071.52109999995
0,89.78,113242.2916,89.78,113242.2916
0,56.84,19710.6344,38.13,8021.413099999998
0,66.09,20099.4219,10.91,7.381899999999999
0,56.6,28872.980000000003,56.6,28872.980000000003
