,wild_mean,wild_var,mutant_mean,mutant_var
0,9.17,84.56109999999998,9.17,84.56109999999998
0,8.66,62.78440000000001,8.66,62.78440000000001
0,12.85,839.7275,7.88,18.5656
0,11.74,358.3324,23.49,5474.869899999999
0,13.78,418.3516,14.89,1026.5178999999996
0,18.38,1564.0356,8.42,13.763600000000002
0,11.7,344.7700000000001,28.86,9379.440399999998
0,17.94,682.1364000000001,25.71,7949.165899999998
0,19.96,1094.0384,11.92,375.3336000000002
0,23.71,5196.625899999999,23.71,5196.625899999999
0,21.57,2226.5051000000003,21.57,2226.5051000000003
0,24.98,3795.299599999999,146.34,1054702.0443999998
0,15.24,811.9823999999998,13.95,408.86749999999995
0,21.36,5828.970399999999,431.52,3821616.2495999997
0,68.01,39326.5499,2107.5,16558570.01
0,2307.88,17674008.4856,2308.8,17669853.619999997
0,2608.03,19198551.4091,2510.73,18697454.377100002
0,2307.43,17676081.5051,509.12,4741025.145599999
0,3106.81,21347848.113900002,3106.81,21347848.113900002
0,1508.23,12725379.677100003,1508.23,12725379.677100003
0,2312.2,17655039.34,2312.2,17655039.34
0,2611.72,19181006.421600007,2611.35,19182637.127499994
0,2309.08,17668654.933600005,2111.62,16542167.615600001
0,2506.55,18717300.5875,119.57,988553.9651
0,3105.47,21356119.889100004,3105.47,21356119.889100004
