,wild_mean,wild_var,mutant_mean,mutant_var
0,0.53,27.80910000000003,0.53,27.80910000000003
0,100.52,989922.7696000003,0.25,6.1875
0,0.12,1.4255999999999995,0.14,1.9403999999999995
0,1.94,372.5963999999998,0.23,5.237100000000003
0,0.25,6.1875,0.25,6.1875
0,0.14,1.9403999999999995,0.5,24.75
0,0.22,4.791600000000003,0.2,3.9600000000000035
0,0.24,5.702399999999998,0.24,5.702399999999998
0,0.11,1.1979000000000009,0.11,1.1979000000000009
0,0.28,7.761599999999998,0.13,1.6730999999999987
0,0.24,5.702399999999998,0.24,5.702399999999998
0,0.22,4.791600000000003,0.22,4.791600000000003
0,0.24,5.702399999999998,0.24,5.702399999999998
0,0.12,1.4255999999999995,0.12,1.4255999999999995
0,0.23,5.237100000000003,0.23,5.237100000000003
0,0.35,12.127499999999992,0.35,12.127499999999992
