,wild_mean,wild_var,mutant_mean,mutant_var
0,57.64,20933.8704,57.64,20933.8704
0,175.79,494118.5258999999,175.79,494118.5258999999
0,139.48,378644.7896,16.08,53.43360000000001
0,147.96,581733.4383999999,73.19,36846.7539
0,197.26,827702.4523999998,37.3,744.5699999999998
0,139.08,368476.01359999995,10.19,4.7739
0,96.52,75727.98960000002,106.69,25112.3139
0,57.64,20933.8704,57.64,20933.8704
0,175.79,494118.5258999999,175.79,494118.5258999999
0,139.48,378644.7896,16.08,53.43360000000001
0,147.96,581733.4383999999,73.19,36846.7539
0,197.26,827702.4523999998,37.3,744.5699999999998
0,139.08,368476.01359999995,10.19,4.7739
0,96.52,75727.98960000002,106.69,25112.3139
0,82.45,43766.90750000001,40.85,1010.3075000000003
0,158.14,610201.3404000001,19.33,37.1611
0,87.94,59262.01639999998,87.94,59262.01639999998
0,128.28,550226.9416000001,128.28,550226.9416000001
0,149.12,998787.6855999997,30.24,661.3224
0,52.54,3632.6483999999996,43.5,1927.17
0,160.7,987937.5899999995,101.94,12651.516399999999
0,58.26,14185.4724,86.19,8482.273899999998
0,85.61,9532.4379,88.91,7577.081899999999
0,89.74,10171.5924,86.76,9133.182400000002
0,73.52,7101.749599999999,24.01,198.1699
0,102.09,11810.341899999998,102.09,11810.341899999998
0,82.14,9563.9204,82.14,9563.9204
0,87.98,7928.419599999999,87.98,7928.419599999999
0,102.02,15091.9196,100.92,16746.7136
0,82.42,7219.843599999998,89.9,19482.589999999997
0,117.42,25937.223599999998,22.47,158.0491
0,107.0,25391.44,107.0,25391.44
0,110.41,19091.8619,110.41,19091.8619
0,114.19,32800.4739,766.49,6420312.469899999
0,967.3,8072176.770000001,660.62,5569216.615599999
