,wild_mean,wild_var,mutant_mean,mutant_var
0,166.13,32450.773100000002,35.85,370.30750000000006
0,142.0,19697.06,142.61,29631.557900000003
0,144.27,20356.9971,193.09,38984.921899999994
0,129.23,16781.517099999997,93.04,12624.318399999996
0,163.91,32344.721900000004,163.91,32344.721900000004
0,352.68,1929860.7976,31.76,98.52239999999996
0,141.19,22918.6939,141.19,22918.6939
0,381.91,1927764.6418999997,381.91,1927764.6418999997
0,820.99,6358121.049900001,216.3,981514.2100000002
0,432.99,2856714.449900001,89.33,8698.401100000001
0,171.84,27897.594399999998,171.84,27897.594399999998
0,134.48,14999.869599999998,12.49,0.40989999999999993
0,251.27,980920.5570999997,34.98,170.15960000000007
0,232.01,987948.7098999999,266.41,997549.9019000002
0,244.24,980483.4624000001,37.43,307.8851
0,151.7,25368.569999999996,178.93,39899.9251
0,141.11,19735.937899999997,141.11,19735.937899999997
0,266.96,983818.9184000003,266.96,983818.9184000003
0,157.46,24401.108400000005,362.51,1920833.6098999998
0,376.3,1994965.1700000004,176.05,32232.9675
0,291.87,977475.2930999999,291.87,977475.2930999999
0,287.31,990360.3739000004,217.67,34407.061100000006
0,277.51,992069.4699000001,47.23,1409.5571
0,190.97,31768.409099999997,137.46,18101.708399999992
0,289.18,995595.0275999998,289.18,995595.0275999998
0,370.34,1930364.7044,32.92,186.33360000000005
0,500.08,2818066.7935999995,320.44,981476.4463999999
0,280.66,991322.2244000002,280.66,991322.2244000002
0,153.97,27767.5291,104.62,12142.5956
0,166.88,33057.7056,242.36,992441.1103999999
0,258.22,987515.3916,258.42,996286.5436000001
0,164.53,40949.8091,168.25,36740.4075
0,262.62,985532.4755999999,25.24,33.5824
0,329.4,1932364.8000000003,33.34,214.2044
0,145.85,16659.087499999994,184.07,33632.8251
0,374.1,1939867.3099999996,374.1,1939867.3099999996
0,373.89,1925839.2979000001,383.29,1021305.3458999998
0,340.75,1147314.1875,15.55,0.36750000000000005
0,250.92,48738.5336,286.16,119757.5144
0,339.87,1000450.5130999999,223.53,38940.7091
0,349.48,1008992.3496000004,37.3,1445.35
0,334.59,1007118.9018999999,334.59,1007118.9018999999
0,310.76,82754.5024,1113.2,7877687.959999997
0,564.82,2884481.1275999993,376.66,2875473.584400001
0,551.46,2866697.528400001,798.51,5456109.5699000005
0,844.01,5420088.7099,905.59,7219161.6619
0,743.6,4581447.599999998,1320.62,9373694.4556
0,1313.4,9438994.98,1313.4,9438994.98
0,1091.45,7886469.2475,1091.45,7886469.2475
0,1049.89,7942270.397899999,5058.1,24428589.57
0,4952.88,24479723.185600005,4952.88,24479723.185600005
0,5253.6,24409019.360000003,5253.6,24409019.360000003
0,5935.91,23770021.7819,6976.75,20611412.9875
0,4753.57,24413312.065100007,4658.89,24305941.337899998
0,4365.75,23952096.7275,4365.75,23952096.7275
0,4953.29,24483657.3059,6622.69,22143939.713900004
0,6328.8,22951542.24,1203.22,9587601.3716
0,6741.11,21572800.8779,8802.5,10516088.11
0,8404.32,13367677.997600004,8404.32,13367677.997600004
0,8903.44,9729141.0264,190.01,1009740.3899000001
0,8205.8,14665779.700000007,8205.8,14665779.700000007
0,8404.56,13363683.486400006,8206.13,14659903.053100001
0,8606.33,11932651.261100002,6912.15,21223514.207499996
0,7609.21,18100705.925899997,14.63,0.27310000000000006
0,8507.81,12618597.053900003,8507.81,12618597.053900003
0,7812.35,16968448.1075,3510.72,22675023.481599998
0,8315.46,13857818.188400002,8315.46,13857818.188400002
0,8509.52,12589788.0096,8507.63,12621097.493100004
0,8803.09,10505720.961899998,9303.32,6448800.5576
0,8708.02,11171458.899600001,8708.02,11171458.899600001
0,8016.07,15745648.065099997,8306.81,13997349.833900003
0,8007.15,15886152.147499997,7809.84,17007722.914399996
0,8307.2,13991028.26,14.28,0.9016
0,8407.63,13312538.133100005,9201.13,7339222.753100002
0,8110.86,15215282.420399997,8306.17,14007948.941100003
0,7906.41,16489093.221899994,8006.49,15896605.769899998
0,8108.11,15259319.877899997,8108.11,15259319.877899997
0,7212.93,19975289.985099997,7606.41,18142932.381899998
0,7610.16,18086785.7544,6120.03,23546494.1491
