,wild_mean,wild_var,mutant_mean,mutant_var
0,191.43,49936.245099999986,20.81,35.933899999999994
0,277.61,984065.3178999994,167.64,30860.7104
0,243.73,983451.2571,46.26,1547.0124000000008
0,366.87,1924053.8530999997,249.26,976795.4523999998
0,172.33,31536.3611,253.01,976019.4898999995
0,236.69,984356.0539,97.85,8670.5875
0,125.56,17272.2664,125.56,17272.2664
0,335.4,1932543.1200000006,19.82,28.847599999999993
0,240.26,981512.6523999998,12.3,0.7899999999999998
0,133.37,20851.893099999998,197.4,980630.04
0,307.62,1926647.8955999995,109.66,15942.924400000002
0,123.36,14758.290399999998,155.53,30705.129100000006
0,220.09,984699.9819,11.65,0.40750000000000014
0,95.63,10500.073100000001,76.83,6669.6011
0,303.91,1932850.8218999999,131.71,63583.0459
0,91.31,7398.7339,96.54,9426.7884
0,97.35,7754.8675,97.35,7754.8675
0,219.32,980911.6576,168.31,32524.713900000002
0,322.07,1930430.4451000006,207.66,983963.0044000001
0,308.92,1925488.1536000005,174.0,39956.7
0,97.14,9749.8804,91.87,10706.2131
0,102.69,11498.8339,102.69,11498.8339
0,336.9,1928279.87,31.9,259.81
0,91.02,5530.579600000001,108.54,23049.2284
0,77.96,4417.7784,77.96,4417.7784
0,113.07,39758.2451,99.1,9730.529999999997
0,209.58,987925.9036,209.58,987925.9036
0,101.63,11362.813099999998,101.63,11362.813099999998
0,91.35,13957.627500000002,91.35,13957.627500000002
0,91.04,11313.4784,91.04,11313.4784
0,77.39,7684.197899999999,77.39,7684.197899999999
0,179.57,982294.3050999998,25.38,84.9356
0,110.64,23530.310399999995,110.3,14264.229999999996
0,91.94,9487.5564,156.72,26205.26159999999
0,194.25,35062.7475,165.86,23680.2004
0,182.32,27550.577600000004,182.32,27550.577600000004
0,163.02,28992.4796,146.66,18387.4644
0,161.88,27307.905600000006,19.48,24.5096
0,143.77,30759.217099999998,147.16,24709.214400000004
0,181.46,41195.78839999999,129.7,14188.129999999997
0,172.46,31270.828399999995,168.91,28912.101899999998
0,164.48,17498.469599999997,177.1,26444.05
0,158.98,23661.9196,138.47,19715.349099999996
0,165.22,24570.231599999996,1416.94,11016564.5964
0,1607.74,12439722.3524,1933.09,14305997.381900003
0,1702.67,13121598.0211,1702.67,13121598.0211
0,1815.63,13727707.1931,1815.63,13727707.1931
0,1717.84,13079710.7344,8801.84,10527662.7544
0,8704.75,11227690.7675,8504.86,12667697.660400005
0,9101.27,8166906.937100002,9101.27,8166906.937100002
0,9302.01,6472759.269899998,9400.75,5625910.7275
0,8501.74,12720437.3924,348.47,2883765.8691
0,8403.4,13383080.139999997,26.59,108.42190000000002
0,8502.35,12710109.3075,8801.38,10535726.135599999
0,9101.06,8170719.556400001,9101.06,8170719.556400001
0,8503.41,12692282.381900001,8303.37,14054185.413100002
0,9302.22,6468900.531600001,967.96,8078702.1784000015
0,8603.61,11978129.897899995,3347.0,21803129.7
0,9101.84,8156600.7743999995,8904.28,9714210.221600002
0,8506.08,12647093.913599996,8506.6,12638326.58
0,9103.19,8132178.213900001,9301.04,6490675.178399999
0,8602.5,11997087.67,9100.99,8171992.009900003
0,9302.59,6462066.821899998,9302.59,6462066.821899998
0,8701.93,11276450.525099998,8404.68,13361685.057600003
0,8404.03,13372589.049100004,9400.69,5627035.553899999
0,9002.25,8959662.3875,6419.85,22787292.327500004
0,8803.05,10506472.567499997,9101.39,8164732.0979
0,9301.87,6475332.093099997,8905.98,9684137.4996
0,8906.02,9684083.119599998,8906.02,9684083.119599998
0,9002.42,8956626.743600002,9002.42,8956626.743600002
0,9101.07,8170537.765099998,8110.6,15219606.619999994
0,8803.34,10501405.8244,8803.34,10501405.8244
0,9204.62,7275834.135600002,9204.62,7275834.135600002
0,8903.44,9728950.026399998,9002.74,8950801.192399997
