Gender	HornLength	Bodymass
male	8.111043726	90.06961746
male	13.91563256	84.67157372
male	3.811435827	96.68255321
male	10.57885794	89.24178584
male	6.558335949	90.19146626
male	10.01135137	87.52647615
male	8.715125023	88.49592892
male	5.963828522	88.07666059
male	9.126982416	93.43193345
male	9.08728302	96.74465482
male	7.438889313	91.89295343
male	9.472446655	87.10114433
male	7.8028745	91.42465933
male	9.086550235	92.69199596
male	3.155046332	95.45711554
male	10.54645067	91.91210624
male	12.58354955	86.99203936
male	13.81435754	84.14732315
male	10.68086005	89.43120788
male	10.61545419	92.58014636
male	10.69813653	90.71837063
male	9.442077287	89.98471987
male	8.36036959	88.22253247
male	3.638864437	93.88386901
male	12.05892502	90.02928874
